variant,binary,version,dataset,run_index,seed,population,islands,generations,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,best_tour_path,status,notes
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,cuda_ga_b3_reduce,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9331,247.926,NA,NA,37 39 38 35 48 43 45 47 23 4 5 42 32 50 10 51 13 12 46 25 26 27 11 24 3 14 34 33 21 31 9 8 7 40 18 44 2 16 20 17 0 49 28 19 22 30 41 6 1 29 15 36 37,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9331,246.559,NA,NA,37 39 38 35 48 43 45 47 23 4 5 42 32 50 10 51 13 12 46 25 26 27 11 24 3 14 34 33 21 31 9 8 7 40 18 44 2 16 20 17 0 49 28 19 22 30 41 6 1 29 15 36 37,ok,
cuda_ga_b4_global,build/CUDA-GA-B4-global,cuda_ga_b4_global,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9331,246.276,NA,NA,37 39 38 35 48 43 45 47 23 4 5 42 32 50 10 51 13 12 46 25 26 27 11 24 3 14 34 33 21 31 9 8 7 40 18 44 2 16 20 17 0 49 28 19 22 30 41 6 1 29 15 36 37,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,cuda_ga_b5_bigpop,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,7542,7581.34,NA,NA,50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 22 19 49 28 15 45 43 33 34 35 38 39 36 37 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50,ok,
cuda_ga_c1_stride,build/CUDA-GA-C1-stride,cuda_ga_c1_stride,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,7932,263.003,NA,NA,27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 28 49 22 19 15 45 36 37 38 35 34 33 43 47 23 39 4 14 5 3 24 11 27,ok,
cuda_ga_c2_bitmask,build/CUDA-GA-C2-bitmask,cuda_ga_c2_bitmask,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,7932,246.505,NA,NA,27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 28 49 22 19 15 45 36 37 38 35 34 33 43 47 23 39 4 14 5 3 24 11 27,ok,
cuda_ga_c3_reduce,build/CUDA-GA-C3-reduce,cuda_ga_c3_reduce,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,7932,246.75,NA,NA,27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 28 49 22 19 15 45 36 37 38 35 34 33 43 47 23 39 4 14 5 3 24 11 27,ok,
cuda_ga_c4_global,build/CUDA-GA-C4-global,cuda_ga_c4_global,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,7932,248.543,NA,NA,27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 28 49 22 19 15 45 36 37 38 35 34 33 43 47 23 39 4 14 5 3 24 11 27,ok,
cuda_ga_c5_bigpop,build/CUDA-GA-C5-bigpop,cuda_ga_c5_bigpop,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,7542,7518.05,NA,NA,22 19 49 28 15 45 43 33 34 35 38 39 36 37 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 22,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,data/berlin52.tsp,17,116,NA,256,2000,0.03,2,9331,317.302,NA,NA,37 39 38 35 48 43 45 47 23 4 5 42 32 50 10 51 13 12 46 25 26 27 11 24 3 14 34 33 21 31 9 8 7 40 18 44 2 16 20 17 0 49 28 19 22 30 41 6 1 29 15 36 37,ok,
gpu_naive,build/GPU-Naive,gpu_naive,data/berlin52.tsp,18,117,NA,NA,NA,NA,NA,8181,0.131745,NA,NA,39 37 36 38 35 34 33 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 22 19 49 15 28 29 41 6 1 39,ok,
cuda_ga,build/CUDA-GA,cuda_ga,data/berlin52.tsp,18,117,512,NA,2000,0.03,4,7640,875.27,NA,NA,26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 22 19 49 28 15 43 45 37 39 38 35 34 33 36 47 23 4 14 5 3 24 11 27 26,ok,
cuda_ga_no_greedy,build/CUDA-GA-no-greedy,cuda_ga_no_greedy,data/berlin52.tsp,18,117,512,NA,2000,0.03,4,8381,895.078,NA,NA,30 20 16 6 1 41 29 22 19 49 15 45 36 39 37 14 5 4 23 47 38 33 43 28 46 25 27 26 12 13 51 10 50 11 24 3 42 32 9 8 7 40 18 44 2 17 21 0 34 35 48 31 30,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9104,332.745,2000,no,19 15 34 35 33 36 47 37 39 38 48 44 18 40 7 8 9 32 42 5 4 23 43 45 50 10 51 13 12 46 25 26 27 11 24 3 14 0 22 30 17 21 31 2 16 20 41 6 1 29 28 49 19,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9104,331.049,2000,no,19 15 34 35 33 36 47 37 39 38 48 44 18 40 7 8 9 32 42 5 4 23 43 45 50 10 51 13 12 46 25 26 27 11 24 3 14 0 22 30 17 21 31 2 16 20 41 6 1 29 28 49 19,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9104,284.209,2000,no,19 15 34 35 33 36 47 37 39 38 48 44 18 40 7 8 9 32 42 5 4 23 43 45 50 10 51 13 12 46 25 26 27 11 24 3 14 0 22 30 17 21 31 2 16 20 41 6 1 29 28 49 19,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9174,263.227,NA,NA,19 49 15 28 29 1 6 41 16 44 18 40 7 8 9 42 3 5 23 47 33 34 35 0 21 43 45 27 25 46 26 12 13 51 10 32 50 11 24 37 39 14 4 36 38 48 31 2 17 30 20 22 19,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9104,824.402,NA,NA,19 15 34 35 33 36 47 37 39 38 48 44 18 40 7 8 9 32 42 5 4 23 43 45 50 10 51 13 12 46 25 26 27 11 24 3 14 0 22 30 17 21 31 2 16 20 41 6 1 29 28 49 19,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9104,279.812,2000,no,19 15 34 35 33 36 47 37 39 38 48 44 18 40 7 8 9 32 42 5 4 23 43 45 50 10 51 13 12 46 25 26 27 11 24 3 14 0 22 30 17 21 31 2 16 20 41 6 1 29 28 49 19,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9104,417.393,NA,NA,19 15 34 35 33 36 47 37 39 38 48 44 18 40 7 8 9 32 42 5 4 23 43 45 50 10 51 13 12 46 25 26 27 11 24 3 14 0 22 30 17 21 31 2 16 20 41 6 1 29 28 49 19,ok,
cuda_ga_b1_stride,build/CUDA-GA-B1-stride,cuda_ga_b1_stride,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9406,262.778,NA,NA,16 18 44 9 8 7 40 2 30 31 48 35 33 34 38 36 37 39 4 14 5 23 47 46 25 26 27 12 13 51 10 50 11 32 42 3 24 45 43 15 0 21 17 20 29 28 19 49 22 41 1 6 16,ok,
cuda_ga_b2_bitmask,build/CUDA-GA-B2-bitmask,cuda_ga_b2_bitmask,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9406,246.359,NA,NA,16 18 44 9 8 7 40 2 30 31 48 35 33 34 38 36 37 39 4 14 5 23 47 46 25 26 27 12 13 51 10 50 11 32 42 3 24 45 43 15 0 21 17 20 29 28 19 49 22 41 1 6 16,ok,
cuda_ga_b3_reduce,build/CUDA-GA-B3-reduce,cuda_ga_b3_reduce,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9406,246.529,NA,NA,16 18 44 9 8 7 40 2 30 31 48 35 33 34 38 36 37 39 4 14 5 23 47 46 25 26 27 12 13 51 10 50 11 32 42 3 24 45 43 15 0 21 17 20 29 28 19 49 22 41 1 6 16,ok,
cuda_ga_b3_shuffle,build/CUDA-GA-B3-shuffle,GPU-Pop B1+B2+B3-shuffle,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9406,246.422,NA,NA,16 18 44 9 8 7 40 2 30 31 48 35 33 34 38 36 37 39 4 14 5 23 47 46 25 26 27 12 13 51 10 50 11 32 42 3 24 45 43 15 0 21 17 20 29 28 19 49 22 41 1 6 16,ok,
